"City","Population","Violent Crime","Murder and nonnegligent manslaughter","Rape1","Robbery","Aggravated assault","Property crime","Burglary","Larceny-theft","Motorvehicle theft","Arson",
Ada,"5,509",3,0,2,1,0,24,6,17,1,0,
Akron,"197,882","1,782",27,181,328,"1,246","6,568","1,686","4,305",577,65,
Alliance,"21,536",28,0,4,1,23,558,61,474,23,10,
Amberley Village,"3,791",2,0,0,0,2,35,3,29,3,0,
American Township,"12,050",0,0,0,0,0,97,5,88,4,0,
Amherst,"12,166",4,0,0,3,1,147,20,123,4,1,
Arcanum,"2,006",0,0,0,0,0,9,0,9,0,0,
Archbold,"4,320",5,0,1,1,3,80,6,68,6,0,
Ashland,"20,410",33,1,18,2,12,384,50,331,3,1,
Ashville,"4,331",4,0,2,0,2,53,1,39,13,0,
Athens,"24,745",16,0,0,5,11,398,30,349,19,3,
Aurora,"16,319",1,0,0,0,1,128,5,120,3,1,
Bainbridge Township,"11,493",4,0,2,1,1,241,34,203,4,0,
Barberton,"26,015",69,2,15,10,42,689,111,546,32,4,
Barnesville,"4,020",1,0,1,0,0,12,2,8,2,0,
Batavia,"1,680",3,0,0,0,3,35,8,25,2,0,
"Bath Township, Summit County","9,659",5,0,1,1,3,145,13,130,2,0,
Bay Village,"15,235",4,1,0,0,3,72,11,56,5,0,
Bazetta Township,"5,530",7,0,1,0,6,210,4,204,2,0,
Beachwood,"11,612",7,0,2,1,4,438,16,413,9,0,
Beavercreek,"47,672",33,0,11,10,12,"1,193",78,"1,088",27,4,
Beaver Township,"6,415",3,0,2,0,1,74,21,51,2,0,
Bedford,"12,485",19,0,1,8,10,157,22,103,32,0,
Bellaire,"4,039",12,0,4,0,8,30,4,25,1,1,
Bellbrook,"7,326",0,0,0,0,0,36,3,33,0,0,
Bellefontaine,"13,145",25,0,6,0,19,202,32,167,3,0,
Bellville,"1,895",1,0,0,1,0,15,0,14,1,0,
Belpre,"6,386",4,0,0,0,4,105,21,70,14,0,
Berea,"18,573",9,0,0,3,6,79,16,59,4,1,
Bethel,"2,809",8,0,1,0,7,77,14,60,3,1,
Bexley,"13,956",12,0,4,3,5,300,63,229,8,0,
Blanchester,"4,251",3,0,1,0,2,99,20,78,1,0,
Blue Ash,"12,307",14,0,3,2,9,204,17,179,8,0,
Bowling Green,"31,719",37,0,18,4,15,547,42,489,16,0,
Brewster,"2,158",2,0,1,0,1,23,6,17,0,1,
Bridgeport,"1,741",1,0,1,0,0,10,1,7,2,0,
Brimfield Township,"10,388",7,1,1,2,3,204,16,185,3,0,
Brunswick,"34,977",17,0,2,1,14,189,20,157,12,2,
Bucyrus,"11,712",25,0,6,3,16,287,49,230,8,1,
Burton2,"1,454",,0,,0,1,2,0,2,0,0,
Butler Township,"7,819",23,0,9,5,9,386,30,345,11,2,
Cambridge2,"10,318",,0,,3,6,349,36,302,11,0,
Campbell,"7,815",9,0,1,2,6,53,25,21,7,0,
Canal Fulton,"5,450",7,0,0,2,5,52,10,40,2,0,
Canfield,"7,199",0,0,0,0,0,47,3,43,1,0,
Canton,"70,139",981,6,135,188,652,"3,712",962,"2,429",321,24,
Cardington,"2,056",2,0,0,0,2,15,5,9,1,0,
Carroll Township,"2,096",1,0,0,0,1,15,2,11,2,0,
Centerville,"23,744",15,0,5,1,9,285,37,242,6,0,
Chagrin Falls,"3,941",1,0,0,1,0,41,16,25,0,0,
Chardon,"5,183",9,0,0,1,8,94,3,91,0,0,
Chester Township,"10,322",0,0,0,0,0,15,2,12,1,0,
Cheviot,"8,269",23,0,5,7,11,221,55,143,23,0,
Chillicothe,"21,670",103,0,23,17,63,"1,575",183,"1,337",55,5,
Cincinnati3,"303,335","2,562",64,280,872,"1,346","13,051","2,765","8,935","1,351",,
Circleville,"14,025",47,1,13,13,20,609,81,493,35,3,
Clayton,"13,221",2,0,0,1,1,83,8,70,5,0,
Clearcreek Township,"16,070",2,0,1,0,1,37,11,26,0,0,
Cleveland,"381,829","5,791",92,479,"1,895","3,325","17,057","4,311","9,968","2,778",157,
Cleveland Heights4,"44,098",95,1,6,31,57,696,105,526,65,0,
Cleves,"3,443",2,0,0,0,2,31,3,25,3,0,
Clyde,"6,147",3,0,0,0,3,66,14,51,1,0,
Coitsville Township,"1,324",3,1,0,0,2,21,4,14,3,0,
Colerain Township,"59,479",67,1,4,40,22,"1,342",138,"1,157",47,5,
Columbiana,"6,209",2,0,0,0,2,49,8,40,1,1,
Columbus3,"906,120","4,561",81,882,"1,810","1,788","29,974","5,809","20,606","3,559",,
Copley Township,"17,309",14,0,6,0,8,192,20,155,17,0,
Cortland,"6,769",3,0,0,1,2,46,10,36,0,0,
Covington,"2,694",0,0,0,0,0,10,1,9,0,0,
Cuyahoga Falls,"49,236",50,0,14,10,26,980,92,860,28,2,
Dayton,"140,427","1,351",48,200,347,756,"5,673","1,533","3,393",747,8,
Deer Park,"5,654",2,0,1,0,1,36,1,28,7,1,
Defiance,"16,601",22,1,11,0,10,225,21,201,3,1,
Delaware,"40,616",60,0,45,4,11,477,94,371,12,1,
Delhi Township,"29,811",21,0,6,7,8,303,36,255,12,0,
Delphos2,"6,930",,0,,2,3,106,17,77,12,2,
Dennison,"2,596",0,0,0,0,0,8,1,7,0,0,
Dover,"12,741",14,1,7,1,5,77,8,65,4,1,
Dublin,"49,626",26,0,13,3,10,429,59,345,25,0,
East Cleveland,"17,001",97,3,1,49,44,369,115,123,131,6,
Eastlake,"18,074",12,0,0,6,6,327,31,275,21,0,
East Liverpool,"10,653",13,0,3,5,5,124,31,86,7,1,
East Palestine,"4,435",8,0,2,0,6,69,18,46,5,0,
Eaton,"8,136",6,0,2,2,2,213,12,194,7,0,
Elyria,"53,806",137,4,35,37,61,921,207,665,49,7,
Englewood,"13,478",16,0,1,8,7,367,16,341,10,3,
Euclid,"46,659",243,3,28,74,138,"1,285",202,895,188,5,
Evendale,"2,839",5,0,0,0,5,143,5,131,7,0,
Fairborn,"33,726",88,0,25,8,55,627,132,457,38,9,
Fairfax,"1,710",5,0,0,4,1,358,2,355,1,0,
Fairfield,"42,620",84,1,16,17,50,879,93,748,38,0,
Fairfield Township,"22,956",21,0,3,0,18,507,24,477,6,2,
Fairview Park,"16,201",7,0,0,2,5,142,5,134,3,0,
Fayette,"1,242",1,0,0,0,1,13,3,9,1,0,
Findlay,"41,350",106,0,46,17,43,902,114,760,28,3,
Forest Park,"18,673",49,1,21,17,10,276,43,208,25,3,
Franklin,"11,675",34,0,13,6,15,501,57,413,31,2,
Frazeysburg,"1,309",3,0,0,0,3,9,1,7,1,0,
Fredericktown,"2,517",5,0,1,0,4,20,4,15,1,0,
Fremont2,"15,958",,0,,1,31,637,94,519,24,0,
Gahanna,"35,847",44,1,10,13,20,719,51,640,28,3,
Gallipolis,"3,553",8,1,3,0,4,243,39,195,9,0,
Gates Mills,"2,227",0,0,0,0,0,4,0,3,1,0,
Georgetown,"4,253",6,0,3,0,3,85,16,67,2,0,
Germantown,"5,500",11,1,0,0,10,71,12,57,2,0,
Glouster,"1,796",3,0,0,0,3,34,6,28,0,0,
"Goshen Township, Clermont County","16,300",16,0,6,2,8,140,19,108,13,3,
"Goshen Township, Mahoning County","3,102",3,0,0,0,3,46,13,30,3,0,
Grafton,"5,808",2,0,0,1,1,14,1,13,0,0,
Grandview Heights,"8,581",9,1,4,1,3,179,53,120,6,0,
Granville,"5,917",5,0,4,0,1,27,3,24,0,0,
Greenfield,"4,544",14,0,3,1,10,85,12,65,8,0,
Greenhills,"3,591",1,0,0,0,1,35,4,31,0,0,
Green Township,"59,273",37,0,15,16,6,808,111,680,17,5,
Grove City,"42,423",41,1,16,18,6,"1,193",84,"1,060",49,0,
Groveport,"5,679",10,0,1,3,6,104,9,67,28,1,
Hamilton,"62,155",265,4,40,65,156,"2,228",417,"1,521",290,47,
"Hamilton Township, Warren County","23,791",13,0,4,0,9,78,7,68,3,1,
Harrison,"11,837",6,0,2,2,2,108,6,102,0,0,
Hartville,"3,068",0,0,0,0,0,32,0,32,0,0,
Heath,"10,933",24,0,7,4,13,461,61,382,18,3,
Hilliard,"37,578",26,0,6,5,15,242,30,195,17,0,
Hillsboro,"6,518",11,0,4,0,7,113,12,91,10,1,
Hinckley Township4,"8,076",3,0,1,1,1,10,2,8,0,0,
Howland Township,"16,420",20,0,1,4,15,281,36,232,13,0,
Hubbard Township,"5,306",6,0,1,2,3,90,22,65,3,0,
Huber Heights,"38,183",76,0,20,16,40,890,169,668,53,3,
Hudson,"22,286",6,0,2,1,3,117,13,101,3,0,
Huron,"6,863",6,1,3,0,2,98,14,79,5,1,
Indian Hill,"5,897",0,0,0,0,0,25,5,20,0,0,
Ironton,"10,576",19,1,2,3,13,191,50,131,10,0,
Jackson,"6,222",6,0,1,1,4,193,32,152,9,0,
"Jackson Township, Montgomery County","3,685",8,0,1,0,7,12,3,9,0,0,
"Jackson Township, Stark County","40,347",52,0,15,12,25,986,170,793,23,1,
Jamestown,"2,136",5,0,2,0,3,51,13,36,2,0,
Johnstown,"5,119",0,0,0,0,0,26,2,23,1,0,
Kent,"29,761",30,0,3,8,19,393,65,315,13,1,
Kenton,"8,198",22,0,8,4,10,263,37,215,11,1,
Kettering,"54,974",56,1,27,13,15,794,139,604,51,1,
Kirtland,"6,823",6,0,0,1,5,21,2,18,1,0,
Kirtland Hills2,644,,0,,0,0,0,0,0,0,0,
Lakemore,"3,082",8,0,3,0,5,99,12,85,2,2,
Lakewood,"49,802",61,0,6,28,27,643,77,511,55,0,
Lancaster,"40,622",110,0,35,22,53,"1,540",215,"1,244",81,15,
Lawrence Township,"8,255",6,0,1,0,5,58,17,40,1,0,
Lexington,"4,666",0,0,0,0,0,5,0,5,0,0,
Lima,"36,653",259,4,59,64,132,"1,493",392,"1,037",64,71,
Lockland,"3,455",24,0,1,12,11,97,22,67,8,0,
Logan,"7,039",24,0,11,5,8,433,68,350,15,3,
London,"10,320",26,2,7,3,14,216,19,185,12,2,
Lorain,"64,022",289,3,29,65,192,"1,437",394,967,76,16,
Lordstown,"3,248",3,0,0,0,3,28,4,23,1,0,
Loudonville,"2,628",10,0,5,0,5,40,5,34,1,0,
Louisville,"9,329",6,0,2,1,3,78,8,68,2,0,
Loveland,"13,245",16,0,9,1,6,73,14,55,4,0,
Lyndhurst,"13,407",14,0,1,2,11,139,8,131,0,1,
"Madison Township, Franklin County","19,682",18,0,1,3,14,177,39,114,24,2,
"Madison Township, Lake County","15,646",9,0,0,0,9,200,28,169,3,0,
Mansfield,"46,418",187,3,48,38,98,"1,996",396,"1,523",77,17,
Mariemont,"3,473",0,0,0,0,0,27,0,27,0,1,
Marietta,"13,547",17,0,8,0,9,192,22,167,3,0,
Martins Ferry,"6,558",12,0,1,2,9,72,8,57,7,0,
Marysville,"24,544",14,0,5,2,7,351,46,292,13,0,
Mason,"33,939",10,0,2,2,6,218,18,193,7,0,
Massillon,"32,433",72,1,26,14,31,743,116,610,17,4,
Maumee,"13,656",14,0,4,2,8,361,27,323,11,5,
Mayfield Heights,"18,519",12,0,1,3,8,230,8,220,2,0,
McConnelsville,"1,760",0,0,0,0,0,17,1,16,0,0,
Mechanicsburg,"1,579",1,0,0,0,1,18,3,12,3,0,
Mentor,"47,289",63,0,9,13,41,703,60,620,23,0,
Mentor-on-the-Lake,"7,400",11,0,2,4,5,61,7,52,2,0,
Miamisburg,"19,913",40,0,13,11,16,264,46,190,28,2,
"Miami Township, Clermont County","42,764",22,1,10,0,11,472,42,409,21,2,
"Miami Township, Montgomery County","29,188",63,2,12,16,33,848,41,769,38,2,
Middlefield2,"2,713",,0,,0,1,55,3,52,0,0,
Middleport,"2,434",0,0,0,0,0,13,7,5,1,0,
Middletown,"48,878",206,1,29,50,126,"1,459",285,"1,034",140,5,
Milford,"6,880",12,0,8,1,3,134,13,113,8,2,
Milton Township,"2,439",1,0,0,0,1,13,6,6,1,0,
Mingo Junction,"3,202",44,0,0,0,44,43,8,30,5,2,
Mogadore2,"3,832",,0,,0,2,34,4,29,1,0,
Monroe,"16,531",14,0,0,1,13,450,34,407,9,0,
Monroeville,"1,356",3,0,0,0,3,18,0,17,1,0,
Montgomery,"10,867",4,0,3,0,1,97,8,89,0,0,
Montpelier,"3,932",11,0,8,0,3,137,20,113,4,1,
Moraine,"6,455",41,3,7,12,19,516,45,451,20,3,
Mount Healthy,"6,052",25,0,7,5,13,304,62,219,23,3,
Mount Orab,"3,454",6,0,3,1,2,50,3,44,3,1,
Mount Vernon,"16,663",27,0,11,0,16,315,29,284,2,0,
Munroe Falls,"5,080",0,0,0,0,0,23,1,22,0,0,
Napoleon,"8,188",23,0,7,1,15,186,25,160,1,1,
Navarre,"1,846",7,0,2,0,5,15,4,10,1,0,
Nelsonville,"5,158",9,0,1,1,7,183,50,117,16,0,
New Albany,"11,332",4,0,0,0,4,112,23,87,2,0,
Newark,"50,340",149,1,34,31,83,"1,676",330,"1,209",137,21,
New Boston,"2,093",18,0,0,6,12,302,19,277,6,1,
New Bremen,"2,977",1,0,0,0,1,19,3,16,0,0,
Newcomerstown2,"3,743",,0,,0,1,63,9,45,9,1,
New Franklin,"14,162",8,0,2,2,4,84,21,58,5,0,
New Lebanon,"4,001",3,0,1,0,2,54,11,39,4,1,
New Lexington,"4,654",16,0,5,2,9,114,15,90,9,0,
New Philadelphia,"17,434",8,0,0,0,8,242,4,232,6,1,
New Richmond,"2,700",6,0,2,0,4,26,4,19,3,0,
Newton Falls,"4,481",11,0,3,1,7,47,8,35,4,0,
Newtown,"2,666",0,0,0,0,0,20,1,19,0,0,
Niles,"18,222",70,2,8,16,44,465,46,400,19,0,
North Baltimore,"3,557",3,0,2,0,1,14,6,7,1,0,
North Canton,"17,251",15,0,5,1,9,234,26,204,4,1,
North College Hill,"9,271",31,0,3,13,15,252,38,193,21,0,
Northfield,"3,670",5,0,1,1,3,29,2,26,1,0,
North Olmsted,"31,421",8,0,0,0,8,389,22,354,13,1,
North Ridgeville,"34,469",13,0,3,1,9,112,23,80,9,1,
North Royalton,"30,177",17,0,6,1,10,119,22,93,4,1,
Northwood,"5,445",12,0,6,3,3,107,21,79,7,1,
Norton,"12,007",18,0,3,2,13,190,36,134,20,0,
Norwalk,"16,903",15,0,8,1,6,262,40,218,4,2,
Oak Harbor,"2,728",1,1,0,0,0,25,2,22,1,0,
Oberlin,"8,302",16,0,8,7,1,172,31,140,1,5,
Olmsted Falls,"8,861",4,1,0,1,2,18,5,12,1,1,
Olmsted Township,"13,432",1,0,0,0,1,30,2,26,2,0,
Ontario,"6,067",7,0,2,0,5,246,3,241,2,0,
Oregon,"19,868",45,0,11,7,27,645,44,581,20,0,
Orrville,"8,461",21,0,8,2,11,78,13,61,4,1,
Ottawa,"4,317",1,0,0,0,1,8,1,6,1,0,
Ottawa Hills,"4,471",0,0,0,0,0,34,3,24,7,0,
Oxford Township,"2,224",0,0,0,0,0,13,2,9,2,0,
Parma,"78,322",112,0,28,11,73,759,130,572,57,6,
Peninsula,558,0,0,0,0,0,9,0,9,0,0,
Pepper Pike,"6,371",5,0,0,1,4,28,6,22,0,0,
Perrysburg,"21,672",3,0,3,0,0,123,9,112,2,0,
Perrysburg Township,"13,013",3,0,0,0,3,127,13,109,5,0,
"Perry Township, Franklin County","3,788",2,0,0,0,2,32,4,27,1,0,
"Perry Township, Stark County","28,121",42,0,12,7,23,411,101,283,27,2,
Pickerington,"21,590",29,0,9,7,13,222,23,187,12,1,
Pierce Township,"11,742",11,0,7,1,3,228,14,209,5,1,
Pioneer,"1,395",1,0,0,0,1,40,13,26,1,0,
Poland Township,"11,859",6,0,0,0,6,35,11,24,0,1,
Poland Village,"2,420",0,0,0,0,0,6,0,6,0,0,
Port Clinton,"5,914",15,0,7,1,7,109,13,91,5,1,
Powell,"13,545",2,0,2,0,0,84,7,75,2,0,
Reading,"10,995",20,0,2,8,10,261,36,217,8,0,
Reminderville,"4,528",0,0,0,0,0,10,3,7,0,0,
Reynoldsburg,"38,578",73,2,21,26,24,988,91,833,64,1,
Richmond Heights,"10,346",32,1,1,10,20,168,36,109,23,3,
Rio Grande,766,2,0,1,0,1,10,3,6,1,0,
Ripley,"1,695",4,0,1,0,3,13,2,10,1,0,
Riverside,"25,148",35,0,9,12,14,343,69,231,43,1,
Ross Township,"8,944",7,0,3,0,4,69,16,45,8,0,
Russells Point,"1,377",2,0,0,0,2,22,4,18,0,0,
Russell Township,"5,219",1,0,0,0,1,13,0,13,0,0,
Sabina,"2,544",5,0,1,1,3,86,15,71,0,0,
Sagamore Hills,"10,934",0,0,0,0,0,30,5,24,1,0,
Salem,"11,644",22,0,3,2,17,341,35,299,7,0,
Salineville,"1,219",2,0,0,0,2,44,8,29,7,1,
Sandusky,"24,572",74,0,31,22,21,925,175,710,40,4,
Sebring,"4,200",5,0,0,0,5,94,10,80,4,2,
Seven Hills,"11,621",7,0,1,4,2,37,6,30,1,0,
Shawnee Township,"12,056",10,0,3,1,6,98,12,84,2,0,
Sheffield Lake,"8,939",6,1,5,0,0,70,17,53,0,1,
Shelby,"8,997",16,0,6,1,9,231,53,169,9,0,
Sidney,"20,437",39,0,20,8,11,631,85,514,32,6,
Solon,"22,830",11,0,3,1,7,217,19,190,8,0,
Somerset,"1,456",0,0,0,0,0,15,3,10,2,0,
South Bloomfield,"1,997",5,0,0,2,3,29,3,24,2,0,
South Euclid,"21,351",27,0,9,6,12,583,42,496,45,0,
South Russell,"3,767",0,0,0,0,0,4,0,4,0,0,
Springboro,"18,975",1,0,0,0,1,66,15,50,1,0,
Springfield,"59,128",292,3,14,124,151,"2,992",763,"1,978",251,49,
"Springfield Township, Hamilton County","36,696",50,2,4,18,26,485,85,368,32,5,
"Springfield Township, Mahoning County","6,415",10,0,2,1,7,47,13,31,3,0,
"Springfield Township, Summit County","14,555",36,1,10,9,16,631,88,528,15,2,
St. Clair Township,"7,482",5,0,1,1,3,51,5,46,0,0,
Steubenville,"17,768",33,3,6,9,15,803,55,735,13,5,
St. Marys,"8,212",1,0,0,0,1,82,17,64,1,0,
Stow,"34,862",15,0,8,1,6,537,56,475,6,1,
Strasburg,"2,691",1,0,0,0,1,11,1,9,1,0,
Streetsboro,"16,561",20,0,2,8,10,227,16,193,18,3,
Strongsville,"44,814",18,0,1,6,11,585,36,541,8,0,
Struthers,"10,148",18,0,5,7,6,152,31,119,2,2,
Sugarcreek Township,"8,494",5,0,3,1,1,166,10,154,2,0,
Swanton,"3,857",2,0,0,0,2,36,1,34,1,1,
Sylvania,"19,046",13,0,4,0,9,166,17,142,7,0,
Sylvania Township,"29,754",34,0,2,10,22,678,61,596,21,0,
Tallmadge,"17,583",12,0,5,2,5,239,37,192,10,0,
Tiffin,"17,498",9,0,3,3,3,354,37,312,5,2,
Toledo5,"273,505","2,604",34,205,655,"1,710","9,470","2,362","6,314",794,,
Toronto,"4,919",9,0,2,0,7,13,5,8,0,0,
Trotwood,"24,435",133,2,18,40,73,659,169,392,98,7,
Troy,"26,250",23,0,6,4,13,433,56,369,8,1,
Twinsburg,"19,103",17,1,1,4,11,92,9,80,3,0,
Uhrichsville,"5,317",9,0,3,1,5,53,12,38,3,1,
Uniontown,"3,353",1,0,0,0,1,67,10,52,5,0,
"Union Township, Clermont County","48,486",48,0,17,11,20,"1,040",61,949,30,1,
University Heights,"12,852",19,0,2,9,8,237,20,203,14,2,
Upper Arlington,"35,754",12,5,1,5,1,366,52,299,15,1,
Upper Sandusky,"6,467",15,0,8,0,7,123,11,110,2,0,
Urbana,"11,309",15,0,8,2,5,275,28,237,10,7,
Utica,"2,253",2,0,0,1,1,18,3,13,2,0,
Van Wert,"10,662",23,0,10,0,13,336,63,267,6,3,
Vermilion,"10,420",2,0,1,0,1,91,15,75,1,0,
Vienna Township,"3,784",3,0,0,0,3,48,13,28,7,0,
Village of Leesburg,"1,308",0,0,0,0,0,39,12,25,2,0,
Wadsworth,"24,058",15,1,9,0,5,413,69,338,6,1,
Waite Hill,454,0,0,0,0,0,0,0,0,0,0,
Wapakoneta,"9,717",2,0,2,0,0,137,9,124,4,0,
Warren,"38,012",212,5,35,68,104,"1,478",431,941,106,7,
Warren Township,"5,169",24,0,0,0,24,83,27,51,5,2,
Washington Court House,"14,150",39,0,21,3,15,504,55,430,19,1,
Waterville,"5,518",3,0,0,1,2,28,5,21,2,0,
Waterville Township,"1,705",0,0,0,0,0,3,1,2,0,0,
Wauseon,"7,428",14,0,4,1,9,142,9,127,6,0,
Waverly,"4,253",6,0,0,4,2,90,6,78,6,0,
Weathersfield,"8,017",9,0,3,1,5,86,23,61,2,1,
Wellston,"5,488",13,0,0,1,12,194,54,128,12,1,
West Carrollton4,"12,886",45,0,9,17,19,233,47,163,23,2,
West Chester Township,"62,517",67,4,22,22,19,"1,220",124,"1,048",48,5,
Westerville,"40,903",74,3,18,16,37,767,53,692,22,3,
West Union,"3,153",3,0,0,0,3,21,7,11,3,0,
Whitehall,"19,121",114,6,23,45,40,"1,102",139,884,79,6,
Whitehouse,"4,887",2,0,0,0,2,9,2,6,1,0,
Wickliffe,"12,758",16,0,6,2,8,174,13,149,12,1,
Willard,"6,021",3,0,0,0,3,144,16,123,5,0,
Williamsburg,"2,569",5,0,0,1,4,44,7,35,2,1,
Willoughby,"23,081",19,0,5,5,9,321,30,276,15,2,
Wilmington,"12,391",26,0,9,6,11,651,90,537,24,1,
Windham,"2,210",4,0,1,0,3,16,5,11,0,0,
Wintersville,"3,665",6,0,0,1,5,46,4,41,1,0,
Woodlawn,"3,346",6,0,2,0,4,81,7,72,2,0,
Wooster,"26,615",110,0,29,15,66,738,97,614,27,7,
Worthington,"14,875",10,0,5,0,5,236,31,200,5,1,
Wyoming,"8,596",2,0,0,0,2,121,7,109,5,0,
Xenia,"26,926",74,0,23,10,41,676,79,556,41,2,
Yellow Springs,"3,727",7,0,0,2,5,94,20,72,2,1,
Zanesville,"25,346",89,1,23,16,49,"1,071",126,912,33,3,
1 The figures shown in this column for the offense of rape were reported using only the revised Uniform Crime Reporting (UCR) definition of rape. See the data declaration for further explanation. ,,,,,,,,,,,,
"2 This agency submits rape data classified according to the legacy UCR definition; therefore the rape offense and violent crime total, which rape is a part of, is not included in this table. See the data declaration for further explanation. ",,,,,,,,,,,,
"3 The FBI determined that the agency's data were underreported. Consequently, those data are not included in this table.",,,,,,,,,,,,
"4 Because of changes in the state/local agency's reporting practices, figures are not comparable to previous years' data.",,,,,,,,,,,,
"5 Arson offenses are reported by the Toledo Fire Department; therefore, those figures are not included in this report.",,,,,,,,,,,,